	rock	indie	pop	alternative	electronic	classic rock	female vocalists	alternative rock	british	indie rock	soul	dance	singer songwriter	folk	rap	indie pop	hard rock	american	acoustic	metal	house	hip hop	chillout	electronica	80s	jazz	male vocalists	blues	britpop	rnb	experimental	funk	grunge	punk	ambient	new wave	psychedelic	90s	progressive rock	heavy metal	downtempo	canadian	70s	reggae	psychedelic rock	electro	r&b	00s	60s	dubstep	techno	country	instrumental	australian	synthpop	glam rock	french	oldies	electropop	classical	emo	pop rock	dream pop	swedish	thrash metal	female vocalist	dancehall	irish	piano	uk	punk rock	soundtrack	latin	lo fi	industrial	alternative metal	rhythm and blues	disco	shoegaze	indie folk	favorites	female	electro house	dub	sexy	legend	chill	motown	guitar	swing	english	folk rock	club	soft rock	PC1_sum	PC2_sum	k_means_groups
Ghana	0.033617	0.020868	0.102204	0.018592	0.030815	0.014902	0.051662	0.006784	0.020992	0.004255	0.05752	0.026136	0.01751	0.005706	0.056305	0.006948	0.002343	0.013289	0.007977	0.000432	0.008039	0.029473	0.005207	0.004208	0.01033	0.01506	0.013619	0.005748	0.003008	0.0196	0.001582	0.010231	7.7e-05	0.000424	0.000758	0.001183	0.000533	0.0045	0.00039	0.000206	0.00156	0.006166	0.005108	0.01387	0.000236	0.003432	0.010847	0.004088	0.001294	0.002656	0.002435	0.002392	0.000386	0.000532	0.000718	0.002682	0.001662	0.003743	0.001907	0.000241	0.000688	0.003161	0.00027	0.001201	7.8e-05	0.004597	0.003016	0.000861	0.0014	0.001594	0.000129	0.000931	0.001674	8.4e-05	0.000164	1.7e-05	0.004435	0.004868	0.000145	0.000192	0.001033	0.003898	0.001944	0.002581	0.003319	0.00214	0.001175	0.004261	0.000834	0.002057	0.001241	0.000312	0.001763	0.001334	-0.0840565779569	0.133583186368	2
Saudi Arabia	0.058359	0.072551	0.079239	0.047536	0.053089	0.016287	0.040281	0.021107	0.029298	0.022175	0.021191	0.024565	0.020839	0.022934	0.017526	0.019998	0.004945	0.012024	0.014855	0.003367	0.012339	0.009339	0.005939	0.006216	0.005027	0.004061	0.009595	0.004954	0.005673	0.00903	0.004527	0.003553	0.003008	0.002176	0.002181	0.002062	0.004267	0.002784	0.004364	0.00167	0.003426	0.00574	0.002612	0.001885	0.003488	0.004803	0.005733	0.003848	0.001575	0.003229	0.002028	0.003169	0.000747	0.003443	0.002434	0.002209	0.001853	0.001219	0.003894	0.000431	0.002442	0.003343	0.003322	0.003408	0.001714	0.003146	0.002244	0.003522	0.000802	0.001867	0.000782	0.000391	0.001037	0.001651	4.8e-05	0.000623	0.000928	0.001517	0.001605	0.00332	0.001352	0.002533	0.002685	0.001436	0.002436	0.001636	0.001343	0.000622	0.000381	0.000933	0.001524	0.002219	0.001625	0.000699	-0.141438583809	0.0850233235908	2
Slovenia	0.106479	0.068122	0.024765	0.069275	0.047914	0.046674	0.017387	0.037817	0.027528	0.029873	0.010322	0.011258	0.016538	0.019754	0.008136	0.01279	0.018867	0.008937	0.006703	0.011803	0.004932	0.004027	0.009348	0.009998	0.010221	0.005838	0.004843	0.010925	0.008669	0.002207	0.008467	0.00516	0.012748	0.010772	0.007322	0.009962	0.009468	0.006685	0.007386	0.009594	0.005299	0.00405	0.006047	0.001238	0.007147	0.00289	0.000903	0.003084	0.005333	0.001912	0.003306	0.003939	0.002649	0.002359	0.00228	0.003625	0.001863	0.002977	0.001052	0.000316	0.00098	0.001285	0.003383	0.000902	0.002641	0.001046	0.001195	0.001938	0.000584	0.002407	0.003512	0.000894	0.0	0.002633	0.003919	0.002017	0.000915	0.001014	0.002073	0.001836	0.001858	0.000667	0.000721	0.000897	0.000438	0.001079	0.000884	0.001282	0.002122	0.000736	0.001163	0.001539	0.000808	0.00071	-0.17937947426	0.00308532649103	0
Guatemala	0.114446	0.045868	0.047842	0.068487	0.041182	0.035236	0.01866	0.044581	0.022877	0.019797	0.00839	0.019334	0.009107	0.00345	0.007976	0.01	0.022959	0.009343	0.0037	0.017421	0.011031	0.00459	0.00428	0.006095	0.010258	0.003101	0.007419	0.003991	0.010327	0.00345	0.003362	0.004246	0.013723	0.008803	0.001335	0.005404	0.005118	0.008466	0.005869	0.009467	0.002408	0.002584	0.004715	0.00533	0.005307	0.003928	0.002687	0.003375	0.00313	0.002479	0.002701	0.00045	0.000264	0.001651	0.001664	0.003021	0.002063	0.002128	0.002123	5.3e-05	0.001882	0.002638	0.000704	0.000674	0.003558	0.001846	0.001922	0.002114	0.000265	0.001855	0.002118	0.000141	0.012853	0.00027	0.002553	0.00388	0.000334	0.001404	0.001279	0.000141	0.001779	0.000959	0.002198	0.00134	0.001464	0.00131	0.000611	8.9e-05	0.000987	0.001031	0.001109	0.000498	0.001386	0.000935	-0.173405067456	0.0150776233492	0
Bosnia and Herzegovina	0.096223	0.055609	0.037799	0.065585	0.052625	0.036039	0.024805	0.036847	0.02736	0.022457	0.013912	0.014344	0.016209	0.011942	0.010071	0.011368	0.018857	0.008269	0.005985	0.01742	0.005182	0.005066	0.01175	0.009865	0.010242	0.006833	0.005782	0.010107	0.007592	0.003502	0.007543	0.005138	0.012678	0.005878	0.005879	0.012835	0.007354	0.00659	0.008494	0.010886	0.007232	0.004232	0.00448	0.001549	0.006228	0.00318	0.002231	0.003162	0.003963	0.002112	0.003099	0.00281	0.001464	0.002439	0.002449	0.003077	0.001533	0.001854	0.001351	7.4e-05	0.000775	0.001371	0.003281	0.001968	0.004108	0.001688	0.001379	0.002754	0.000451	0.002396	0.002373	0.000417	0.000418	0.001421	0.005061	0.003756	0.000807	0.001253	0.00134	0.001305	0.001716	0.001073	0.000568	0.001148	0.00096	0.001358	0.001129	0.000881	0.001294	0.000494	0.001287	0.000775	0.000956	0.001038	-0.167256095719	0.0197841323075	0
Kuwait	0.038295	0.037576	0.110916	0.029808	0.058363	0.012301	0.061061	0.012172	0.025197	0.008117	0.02581	0.035766	0.017694	0.006018	0.027823	0.014592	0.00238	0.012278	0.007424	0.00199	0.013338	0.015447	0.006749	0.007628	0.005754	0.007544	0.008425	0.003452	0.002907	0.015224	0.004277	0.006252	0.00193	0.002592	0.001254	0.001062	0.002605	0.003352	0.002321	0.00087	0.00358	0.005866	0.002224	0.001987	0.001729	0.005565	0.007363	0.004015	0.00125	0.005339	0.002631	0.003218	0.000438	0.002585	0.002732	0.001995	0.001863	0.002144	0.005885	0.000201	0.00166	0.003382	0.002458	0.003599	0.000912	0.004567	0.002283	0.000884	0.001048	0.001749	0.000625	0.0012	0.003045	0.000468	9.5e-05	0.000169	0.000984	0.003121	0.001136	0.000998	0.000985	0.004165	0.002703	0.001423	0.003868	0.002149	0.001866	0.000906	0.000137	0.001716	0.001597	0.000298	0.001923	0.000549	-0.110289975685	0.125967592958	2
Russian Federation	0.119983	0.05533	0.027851	0.079115	0.046816	0.032498	0.019962	0.043685	0.026084	0.025887	0.005839	0.012483	0.00881	0.004997	0.008686	0.010784	0.022965	0.00774	0.002735	0.021702	0.004183	0.003267	0.007723	0.009686	0.009761	0.005112	0.004915	0.00593	0.011567	0.001268	0.005168	0.00245	0.005518	0.013319	0.004981	0.00902	0.004932	0.005961	0.005969	0.010041	0.004233	0.003272	0.003339	0.000958	0.005174	0.003091	0.000728	0.003087	0.003532	0.001026	0.003911	0.002266	0.00263	0.001231	0.003285	0.003102	0.000979	0.002947	0.001012	0.001549	0.004913	0.002487	0.001354	0.000544	0.002813	0.001333	0.000935	0.002529	0.001208	0.002201	0.003073	0.002041	0.0	0.000374	0.006294	0.004723	0.000199	0.000896	0.00169	0.000507	0.001594	0.000766	0.000482	0.000698	0.000473	0.0014	0.000585	3.4e-05	0.000314	0.002019	0.001041	0.000595	0.000872	0.000548	-0.18294464335	-0.00255865481235	0
Germany	0.095216	0.061106	0.040988	0.05936	0.04889	0.039862	0.016214	0.03338	0.029319	0.022521	0.011878	0.017439	0.020297	0.019583	0.016164	0.01126	0.015244	0.008599	0.009977	0.013181	0.011603	0.009781	0.007399	0.006548	0.008818	0.002824	0.007565	0.006918	0.009024	0.003777	0.002765	0.004914	0.006604	0.011133	0.002536	0.005486	0.004471	0.00516	0.005281	0.005696	0.004531	0.003813	0.004883	0.002603	0.004496	0.004897	0.001866	0.00309	0.004237	0.00175	0.00337	0.003467	0.000358	0.002245	0.001712	0.003116	0.001392	0.003259	0.001344	0.000129	0.001634	0.001746	0.000742	0.001377	0.002648	0.001158	0.002073	0.001666	0.001514	0.002116	0.002703	0.000335	0.0	0.001041	0.002289	0.002814	0.000866	0.00137	0.000873	0.001922	0.002152	0.00081	0.001898	0.001407	0.000864	0.001399	0.001116	0.00139	0.001417	0.001299	0.001289	0.001206	0.001458	0.001512	-0.16454600726	0.0257532096256	0
Spain	0.096919	0.080257	0.035882	0.065903	0.049826	0.042617	0.018131	0.033736	0.03226	0.035863	0.012727	0.014515	0.016336	0.01783	0.003867	0.017313	0.01394	0.008579	0.00733	0.00581	0.007769	0.002428	0.006417	0.008503	0.009712	0.005379	0.006507	0.008883	0.011033	0.003369	0.005367	0.005461	0.008238	0.008599	0.003539	0.009355	0.008153	0.00581	0.005398	0.004561	0.003449	0.003922	0.005664	0.003896	0.006179	0.004423	0.002342	0.003486	0.005064	0.002698	0.002775	0.002449	0.002914	0.001767	0.003114	0.003662	0.003276	0.00336	0.002723	0.002785	0.000805	0.001643	0.003007	0.001489	0.002025	0.001239	0.002035	0.001768	0.001212	0.002588	0.003369	0.001879	0.000829	0.002134	0.000375	0.000724	0.001339	0.001369	0.002112	0.001596	0.001767	0.000784	0.001357	0.001462	0.00077	0.001195	0.000827	0.001575	0.001577	0.001031	0.00132	0.001544	0.001259	0.000626	-0.177341121236	0.0187188100686	0
Liberia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
