	rock	indie	pop	alternative	electronic	classic rock	female vocalists	alternative rock	british	indie rock	soul	dance	singer songwriter	folk	rap	indie pop	hard rock	american	acoustic	metal	house	hip hop	chillout	electronica	80s	jazz	male vocalists	blues	britpop	rnb	experimental	funk	grunge	punk	ambient	new wave	psychedelic	90s	progressive rock	heavy metal	downtempo	canadian	70s	reggae	psychedelic rock	electro	r&b	00s	60s	dubstep	techno	country	instrumental	australian	synthpop	glam rock	french	oldies	electropop	classical	emo	pop rock	dream pop	swedish	thrash metal	female vocalist	dancehall	irish	piano	uk	punk rock	soundtrack	latin	lo fi	industrial	alternative metal	rhythm and blues	disco	shoegaze	indie folk	favorites	female	electro house	dub	sexy	legend	chill	motown	guitar	swing	english	folk rock	club	soft rock	PC1_sum	PC2_sum	k_means_groups
Netherlands	0.085471	0.061478	0.04927	0.048013	0.046744	0.046237	0.020036	0.024761	0.033158	0.021038	0.025924	0.016743	0.028464	0.029452	0.009854	0.010968	0.009406	0.009049	0.015628	0.003841	0.010935	0.005487	0.008706	0.007101	0.008836	0.007375	0.009326	0.012594	0.007163	0.005857	0.003649	0.008956	0.007472	0.00295	0.002838	0.003991	0.006065	0.004459	0.005616	0.002238	0.005107	0.003997	0.006581	0.005339	0.005813	0.004062	0.003261	0.003247	0.005719	0.003423	0.002418	0.003504	0.000428	0.003297	0.001409	0.002955	0.001627	0.004712	0.001981	0.000236	0.000625	0.001962	0.001008	0.00208	0.001913	0.001287	0.002147	0.002441	0.00239	0.002364	0.000986	0.000243	0.0	0.001672	7.5e-05	0.000551	0.003279	0.001664	0.000872	0.002379	0.001748	0.000992	0.002191	0.001576	0.000996	0.001273	0.001599	0.002768	0.002485	0.001424	0.001407	0.002005	0.00132	0.002373	-0.155202220011	0.0428064547386	3
Paraguay	0.112066	0.074589	0.046427	0.077745	0.048436	0.036647	0.019139	0.042266	0.033824	0.035745	0.006587	0.017159	0.008797	0.005279	0.007383	0.016034	0.016894	0.009788	0.003344	0.00835	0.009595	0.003927	0.00377	0.006753	0.010457	0.001509	0.006801	0.005035	0.016337	0.003009	0.003366	0.003731	0.011548	0.012578	0.001308	0.012322	0.006479	0.007239	0.006334	0.004928	0.001845	0.00345	0.004957	0.002466	0.005618	0.003954	0.002375	0.003681	0.003819	0.00284	0.002264	0.000167	0.000229	0.002684	0.004035	0.003117	0.002381	0.00104	0.002883	3.9e-05	0.002721	0.002463	0.001077	0.001313	0.002181	0.001601	0.002065	0.001883	0.00047	0.002656	0.004573	0.000186	0.001053	0.000481	0.000722	0.001637	0.000252	0.001334	0.001718	0.000415	0.001848	0.000946	0.001953	0.001366	0.001055	0.001174	0.00054	3.9e-05	0.000706	0.0	0.001429	0.000518	0.001195	0.000796	-0.191194197047	0.0177964652946	0
Pakistan	0.076763	0.052711	0.056181	0.049545	0.05385	0.033222	0.020719	0.027042	0.024945	0.020118	0.014466	0.019616	0.01308	0.010207	0.013749	0.013012	0.016591	0.00996	0.006201	0.009681	0.011155	0.007287	0.009267	0.00894	0.00846	0.005051	0.008188	0.006959	0.005575	0.00579	0.005592	0.005959	0.009176	0.002587	0.010244	0.004112	0.005917	0.004435	0.006474	0.007759	0.00547	0.004351	0.005529	0.001639	0.005705	0.004193	0.003233	0.003316	0.003354	0.003035	0.002505	0.002512	0.001867	0.002365	0.002389	0.002821	0.001944	0.003437	0.002267	0.001254	0.001673	0.002508	0.00229	0.001696	0.003527	0.001633	0.001957	0.002128	0.001234	0.001935	0.000905	0.001655	0.001921	0.000999	0.001468	0.001817	0.001054	0.002153	0.001978	0.000718	0.001443	0.000959	0.002252	0.001372	0.001474	0.00141	0.001118	0.001647	0.001414	0.002111	0.00123	0.001533	0.001394	0.002965	-0.145682468375	0.043492820955	3
Oman	0.065283	0.079564	0.05775	0.054526	0.058549	0.017282	0.027023	0.025549	0.030195	0.02956	0.019838	0.021064	0.020208	0.020178	0.017292	0.019671	0.004352	0.010768	0.010998	0.002409	0.008555	0.00853	0.008835	0.007763	0.005348	0.003821	0.008617	0.007223	0.007554	0.007141	0.009227	0.006511	0.007025	0.003826	0.00274	0.003688	0.00713	0.003984	0.004399	0.00103	0.006278	0.00543	0.002532	0.006048	0.004553	0.004113	0.004623	0.003729	0.001583	0.005051	0.002127	0.00166	0.000746	0.004456	0.001581	0.002546	0.002669	0.00099	0.003511	0.000297	0.002807	0.0027	0.004125	0.001262	0.001114	0.002188	0.002345	0.002511	0.00066	0.00213	0.00093	0.000654	0.000624	0.005412	7.5e-05	0.000178	0.001276	0.001511	0.002118	0.003922	0.001419	0.001405	0.001265	0.001684	0.001457	0.000918	0.001374	0.001401	0.000627	0.000606	0.001421	0.002133	0.001573	0.000634	-0.150208106118	0.0620801045381	3
Greenland	0.075882	0.031949	0.084725	0.028391	0.034638	0.047526	0.03415	0.013036	0.026998	0.00866	0.036169	0.015228	0.030143	0.017643	0.00448	0.004502	0.006236	0.008297	0.017173	0.00271	0.003612	0.002689	0.010646	0.006416	0.019104	0.026574	0.00988	0.012744	0.007595	0.008409	0.004682	0.010135	8.1e-05	0.001838	0.011972	0.011459	0.002489	0.004504	0.009082	0.002135	0.006892	0.00441	0.010275	0.00149	0.002208	0.003128	0.004246	0.002681	0.001801	0.001615	0.002385	0.001076	0.003914	0.001975	0.00244	0.004949	0.000468	0.006138	0.001449	0.004785	0.000526	0.003093	0.000433	0.001894	0.002693	0.002731	0.001114	0.002415	0.005869	0.002358	0.00091	0.000583	3.4e-05	0.001338	0.00093	0.0	0.00235	0.006502	4.4e-05	0.00137	0.001741	0.002807	0.0006	0.000706	0.001423	0.001266	0.002472	0.002604	0.002309	0.006083	0.001522	0.001299	0.000177	0.006241	-0.128368351521	0.0738791060558	2
Gabon	0.060862	0.043835	0.059396	0.044026	0.0399	0.021286	0.033545	0.020165	0.019458	0.015245	0.044767	0.015851	0.01893	0.013325	0.023921	0.009942	0.003525	0.009624	0.010401	0.001431	0.006497	0.016081	0.010241	0.00727	0.006088	0.019018	0.009941	0.011638	0.007865	0.013191	0.00645	0.019793	0.004308	0.003002	0.004908	0.002436	0.003279	0.005362	0.002	0.000219	0.005185	0.004889	0.004757	0.012116	0.002003	0.002942	0.00635	0.004015	0.003047	0.003102	0.0033	0.0029	0.005093	0.001831	0.00087	0.002696	0.00649	0.002208	0.001349	0.006386	0.002529	0.00169	0.001111	0.000861	2.3e-05	0.002265	0.002297	0.001803	0.007885	0.001701	0.000731	0.0022	0.002278	0.00129	6.9e-05	0.000192	0.004557	0.004046	0.000543	0.00141	0.001746	0.002492	0.000508	0.000635	0.001738	0.00174	0.002038	0.0044	0.001948	0.002188	0.001174	0.000502	0.001466	0.000633	-0.12001410193	0.0731567545472	2
New Zealand	0.08064	0.073495	0.041368	0.062644	0.063793	0.029362	0.020247	0.032805	0.025945	0.031148	0.013989	0.016692	0.01564	0.015429	0.017854	0.01819	0.008492	0.009928	0.007717	0.005007	0.009246	0.009616	0.009566	0.01018	0.007491	0.001303	0.006175	0.006084	0.006988	0.004901	0.008603	0.007582	0.009422	0.006966	0.004125	0.006071	0.008523	0.00567	0.00483	0.00236	0.00706	0.004442	0.004481	0.003709	0.005571	0.004259	0.00329	0.003503	0.003227	0.006444	0.002792	0.002993	0.000307	0.004006	0.003699	0.002839	0.002136	0.001487	0.004075	0.0	0.002026	0.00152	0.005296	0.001671	0.00175	0.001511	0.002104	0.001335	0.000986	0.002191	0.002003	0.000171	0.0	0.004758	0.001468	0.000977	0.000941	0.001409	0.001796	0.001285	0.001787	0.000761	0.001666	0.002516	0.000819	0.001063	0.001463	0.001494	0.001	0.0	0.001154	0.000864	0.001055	0.000879	-0.162729217657	0.036865570045	0
Yemen	0.060579	0.049194	0.089723	0.042803	0.049235	0.019914	0.048955	0.024032	0.02563	0.012436	0.029814	0.024161	0.020195	0.010918	0.012877	0.016085	0.008997	0.010746	0.007545	0.004827	0.006073	0.007589	0.008969	0.006753	0.008312	0.008854	0.008815	0.004921	0.005967	0.012347	0.00336	0.004714	0.003401	0.003232	0.004828	0.002749	0.003024	0.003641	0.004252	0.001894	0.003859	0.006579	0.0037	0.005019	0.002079	0.004089	0.005598	0.003646	0.001249	0.001976	0.001838	0.002669	0.003764	0.003128	0.003841	0.001423	0.001666	0.003229	0.004393	0.001577	0.00342	0.0035	0.003692	0.002949	0.000887	0.003659	0.002211	0.001482	0.001974	0.001802	0.001197	0.002712	0.000161	0.001804	8.2e-05	0.000918	0.001475	0.00395	0.000713	0.000726	0.001405	0.003324	0.001373	0.00149	0.002365	0.002046	0.001682	0.001558	0.000281	0.001949	0.001386	0.000489	0.000373	0.001328	-0.132615345644	0.0910193474457	2
Jamaica	0.030557	0.029337	0.092978	0.026501	0.046729	0.005639	0.046663	0.011489	0.016024	0.00459	0.039268	0.02949	0.013506	0.003075	0.046818	0.010233	0.001037	0.01318	0.006124	0.000574	0.01268	0.024838	0.006768	0.006769	0.006799	0.006032	0.011052	0.00252	0.003447	0.016359	0.003628	0.008118	0.001093	0.001061	0.0012	0.00039	0.000331	0.004346	0.000875	7.5e-05	0.003424	0.004287	0.001003	0.041676	0.000131	0.006235	0.010029	0.003946	0.000221	0.005661	0.002173	0.002236	0.000356	0.001789	0.001376	0.00191	0.00176	0.000395	0.00325	5.5e-05	0.000734	0.002793	0.000655	0.00214	2.8e-05	0.003169	0.022666	0.001151	0.000907	0.001161	0.000252	0.000306	0.001793	0.000182	9.7e-05	6.3e-05	0.001852	0.001772	0.001188	0.000247	0.000876	0.003546	0.002863	0.002913	0.003041	0.001776	0.001448	0.001093	0.000553	3.6e-05	0.001125	0.000134	0.001797	0.000931	-0.0884486738974	0.121690573963	2
Albania	0.067423	0.079087	0.027181	0.05692	0.074311	0.027214	0.025137	0.023678	0.02733	0.028849	0.01335	0.011811	0.016512	0.021614	0.008829	0.018423	0.005712	0.008736	0.010273	0.002815	0.00868	0.00483	0.017833	0.015355	0.006242	0.006169	0.004642	0.009386	0.008866	0.003688	0.010454	0.004362	0.004008	0.001771	0.013653	0.006406	0.008874	0.003852	0.004937	0.00108	0.01204	0.004684	0.004207	0.001756	0.006313	0.004284	0.002234	0.003039	0.00349	0.002666	0.004012	0.001798	0.007351	0.002711	0.003553	0.002874	0.002704	0.00247	0.002959	0.010463	0.000776	0.001141	0.006107	0.002457	3.2e-05	0.001685	0.001447	0.002136	0.00441	0.00235	0.000511	0.000623	5e-05	0.005819	0.001392	0.001047	0.001274	0.000565	0.00329	0.004049	0.001426	0.000878	0.001502	0.001303	0.000657	0.000753	0.001824	0.00176	0.001065	0.000761	0.001137	0.002211	0.000791	0.000981	-0.152094698985	0.0321091472351	3
United Arab Emirates	0.067312	0.064498	0.067357	0.047528	0.05843	0.02882	0.032108	0.023145	0.032063	0.019342	0.021475	0.022602	0.021528	0.022642	0.013867	0.015789	0.009132	0.010274	0.012971	0.003705	0.012179	0.007359	0.009202	0.008073	0.008247	0.006945	0.009067	0.007431	0.006415	0.007997	0.005044	0.006395	0.004996	0.002659	0.003728	0.003396	0.005077	0.004103	0.004734	0.00214	0.005866	0.004494	0.004612	0.001971	0.004497	0.00446	0.004527	0.003485	0.00267	0.003738	0.002431	0.004044	0.000973	0.003172	0.002883	0.002825	0.002072	0.003172	0.003763	0.000558	0.001191	0.002855	0.001648	0.0026	0.00158	0.002407	0.002151	0.002266	0.001686	0.002242	0.000722	0.000835	0.000542	0.001305	9.9e-05	0.000504	0.001243	0.001526	0.001572	0.002884	0.001457	0.001835	0.002515	0.001476	0.001918	0.001598	0.001482	0.001801	0.000898	0.001989	0.001516	0.001822	0.001429	0.001195	-0.146720000996	0.0679655889902	3
India	0.092675	0.053192	0.051674	0.050526	0.043912	0.047527	0.017371	0.02902	0.025757	0.017151	0.011525	0.017067	0.017251	0.017819	0.013458	0.012248	0.021241	0.010117	0.011393	0.010054	0.012036	0.006687	0.007885	0.00626	0.009891	0.001138	0.009003	0.00928	0.006829	0.004872	0.003763	0.00441	0.008298	0.003407	0.004869	0.00068	0.006037	0.004757	0.008765	0.009055	0.00476	0.004332	0.00677	0.0018	0.005944	0.004752	0.003347	0.003038	0.004943	0.003394	0.002263	0.003692	0.004062	0.002631	0.000832	0.002761	0.00139	0.002	0.001944	0.001874	0.001901	0.002531	0.000841	0.001599	0.00262	0.001296	0.002015	0.002426	0.001692	0.001899	0.000752	0.005648	0.001189	0.000981	0.000782	0.002101	0.000649	0.001292	0.001444	0.001533	0.00171	0.000714	0.002629	0.001387	0.001107	0.00098	0.001246	0.000649	0.002639	0.00025	0.001156	0.001905	0.001425	0.002305	-0.156927359374	0.0314036020495	0
Azerbaijan	0.091815	0.05456	0.033875	0.061033	0.05808	0.035277	0.02341	0.032952	0.032025	0.02153	0.017748	0.0162	0.012299	0.006673	0.00763	0.011062	0.019458	0.006613	0.004717	0.016223	0.009375	0.004182	0.013477	0.011347	0.010579	0.009549	0.005585	0.008114	0.009725	0.00368	0.004024	0.006337	0.006262	0.002768	0.008969	0.009803	0.005309	0.005498	0.007451	0.010111	0.00792	0.002553	0.00501	0.001483	0.005245	0.005187	0.001649	0.0028	0.00379	0.001822	0.004193	0.001519	0.007624	0.00261	0.002918	0.002871	0.003499	0.00241	0.001274	0.006431	0.001535	0.001786	0.001766	0.000705	0.00407	0.001286	0.001644	0.002919	0.004093	0.00268	0.000679	0.004126	0.0	0.000816	0.005296	0.002641	0.001394	0.001375	0.002821	0.001409	0.001439	0.000932	0.001669	0.001174	0.000659	0.0011	0.00098	0.001613	0.001037	0.001514	0.001402	0.000549	0.001256	0.000823	-0.161208410608	0.0204373221158	0
Lesotho	0.026719	0.008	0.041246	0.008694	0.008182	0.004091	0.058167	0.002556	0.0	0.003579	0.128874	0.003579	0.010622	0.002556	0.003068	0.0	0.001533	0.008906	0.001022	0.005113	0.002045	0.006937	0.004237	0.001533	0.005831	0.01105	0.039733	0.002045	0.0	0.003193	0.003068	0.004115	0.001533	0.002556	0.002045	0.001022	0.002556	0.013428	0.002045	0.002045	0.0	0.0	0.001022	0.003908	0.0	0.004602	0.01167	0.006244	0.0	0.0	0.004602	0.001022	0.002556	0.0	0.0	0.0	0.0	0.001533	0.0	0.004602	0.00767	0.0	0.0	0.0	0.001533	0.001351	0.0	0.0	0.001022	0.0	0.002045	0.018739	0.0	0.0	0.001533	0.0	0.028006	0.0	0.0	0.0	0.002864	0.002703	0.0	0.002556	0.005036	0.003193	0.001842	0.001842	0.0	0.0	0.0	0.0	0.001351	0.0	-0.044990212911	0.089098544344	2
Kenya	0.038239	0.048573	0.076181	0.034046	0.049053	0.005817	0.035617	0.015967	0.024226	0.010044	0.036031	0.025566	0.017386	0.015403	0.063766	0.013477	0.001138	0.013866	0.010212	0.001432	0.01405	0.031674	0.006575	0.005711	0.004127	0.00426	0.011973	0.003513	0.00427	0.014452	0.003109	0.007554	0.001511	0.002264	0.000905	0.000409	0.000433	0.003226	0.000805	8.8e-05	0.003441	0.004102	0.000794	0.007594	0.000153	0.004494	0.008526	0.003806	0.000226	0.004968	0.002305	0.001401	0.000354	0.00241	0.001197	0.001566	0.0013	0.000483	0.002805	9.7e-05	0.001127	0.002712	0.000873	0.00195	2.8e-05	0.002764	0.003318	0.001974	0.000855	0.001513	0.000386	0.000235	0.000288	0.000731	0.000112	0.000656	0.002174	0.00163	0.000209	0.002199	0.000933	0.002343	0.002864	0.001791	0.002724	0.001683	0.001636	0.001697	0.000256	2.1e-05	0.00127	0.001662	0.00181	0.000667	-0.104434541212	0.108239202895	2
Tajikistan	0.089917	0.027976	0.076732	0.049473	0.040947	0.030722	0.039373	0.031388	0.019244	0.007371	0.012392	0.023144	0.012626	0.003946	0.019781	0.008029	0.021498	0.010644	0.005966	0.020717	0.003393	0.010109	0.00924	0.008852	0.009785	0.004292	0.00814	0.004471	0.004548	0.006514	0.001774	0.003432	0.001417	0.008125	0.008482	0.004012	0.001747	0.004887	0.00635	0.007489	0.003291	0.004838	0.005312	0.001104	0.001755	0.003557	0.00334	0.003516	0.001457	0.002283	0.003863	0.004357	0.008758	0.001371	0.001115	0.001026	0.001574	0.001779	0.001686	0.004055	0.004175	0.003155	0.000571	0.00276	0.002207	0.002979	0.001104	0.001641	0.001531	0.001601	0.001599	0.009164	0.001035	0.000122	0.005216	0.004355	0.000429	0.003707	0.00012	0.000229	0.00151	0.002655	0.000543	0.000798	0.001933	0.001168	0.001028	3.9e-05	0.000875	4.9e-05	0.001212	0.000378	0.001214	0.002874	-0.143895429572	0.0560093536863	3
Turkey	0.075663	0.064092	0.034407	0.050848	0.046263	0.032271	0.026403	0.026558	0.026034	0.02184	0.015615	0.012885	0.021611	0.026282	0.004623	0.012137	0.013881	0.006551	0.015508	0.006049	0.006911	0.002752	0.01432	0.008821	0.007488	0.008164	0.006321	0.011732	0.007463	0.003149	0.005359	0.004817	0.006853	0.002405	0.008985	0.004406	0.006875	0.004478	0.006564	0.006985	0.007635	0.004032	0.004476	0.001544	0.007495	0.003061	0.001875	0.002847	0.004134	0.001939	0.002123	0.001894	0.007551	0.004467	0.001608	0.0029	0.003341	0.002846	0.001091	0.014543	0.000428	0.001145	0.00127	0.001642	0.002592	0.001543	0.001768	0.002089	0.006716	0.002041	0.001188	0.001561	1.9e-05	0.0027	0.000119	0.000156	0.001157	0.001274	0.001255	0.002919	0.001391	0.001075	0.001177	0.001269	0.000712	0.001246	0.001392	0.001598	0.001856	0.000805	0.001083	0.001835	0.001096	0.000809	-0.145115077462	0.02866034797	3
Afghanistan	0.058847	0.064615	0.020191	0.052669	0.063765	0.019135	0.025483	0.020283	0.015456	0.020325	0.009934	0.008969	0.021206	0.029244	0.008649	0.008941	0.005489	0.008338	0.010063	0.010307	0.001158	0.005117	0.017673	0.01686	0.003952	0.008236	0.00433	0.010704	0.004148	0.004762	0.01868	0.003696	0.00468	0.016924	0.01871	0.007579	0.009827	0.00455	0.004856	0.006783	0.009676	0.004927	0.002867	0.002173	0.005929	0.004606	0.000737	0.002973	0.003383	0.002581	0.002404	0.003079	0.014048	0.003804	0.00327	0.00238	0.002645	0.002691	0.00193	0.015951	0.001866	0.000569	0.005912	0.002502	0.004741	0.001726	0.001335	0.001266	0.004603	0.001887	0.002933	0.006912	0.002739	0.005254	0.001495	0.001792	0.002347	0.001516	0.006708	0.002445	0.00144	0.001159	0.00011	0.001497	0.000943	0.000929	0.001869	0.00171	0.001359	0.001504	0.000824	0.001649	0.000132	0.000157	-0.131724732003	0.024461176648	3
Bangladesh	0.103654	0.054643	0.04788	0.060262	0.033245	0.03537	0.018796	0.04309	0.023007	0.016434	0.008973	0.014635	0.017177	0.017633	0.01155	0.011303	0.030587	0.009625	0.013847	0.0246	0.008143	0.005583	0.005076	0.00457	0.011285	0.00091	0.008359	0.00641	0.006083	0.003915	0.002926	0.00285	0.010343	0.004774	0.002074	0.001076	0.004462	0.004933	0.012895	0.015447	0.00338	0.004836	0.004256	0.001455	0.004532	0.002895	0.002783	0.003132	0.0025	0.001448	0.001896	0.003833	0.001696	0.002664	0.000783	0.002606	0.001017	0.000996	0.001612	0.001062	0.003589	0.002622	0.000874	0.002219	0.006356	0.001523	0.001637	0.003595	0.001107	0.001697	0.001218	0.002015	0.00087	0.000947	0.000845	0.005558	0.000241	0.001333	0.001311	0.002244	0.001787	0.000788	0.002122	0.001134	0.000941	0.000935	0.000977	5.1e-05	0.001728	0.0	0.001039	0.001465	0.001249	0.002291	-0.166706505295	0.0189000390829	0
Mauritania	0.081222	0.054625	0.03822	0.057969	0.047774	0.028667	0.026686	0.029392	0.018364	0.026225	0.03536	0.016001	0.015374	0.019222	0.010772	0.012041	0.010779	0.010532	0.006103	0.012956	0.003983	0.005713	0.00701	0.012045	0.008016	0.007299	0.00482	0.008442	0.006814	0.006856	0.004865	0.014096	0.004703	0.008448	0.005205	0.002978	0.004529	0.004698	0.00526	0.003684	0.004099	0.002569	0.006979	0.004546	0.004197	0.008509	0.001975	0.003288	0.007438	0.000408	0.004682	0.002933	0.004057	0.001361	0.002338	0.004017	0.01377	0.005305	0.001826	0.007514	0.003245	0.001627	0.000987	0.00026	0.003153	0.002067	5.9e-05	0.000743	0.002436	0.001793	0.003519	0.001405	0.000188	0.002152	0.005225	0.00376	0.006468	0.001261	0.000945	0.002541	0.001619	0.001514	0.000249	0.000366	0.001119	0.001765	0.00092	0.004737	0.000473	0.0	0.001002	0.000873	0.000668	0.00065	-0.14765120746	0.036242505692	3
Solomon Islands	0.069582	0.073422	0.034157	0.050753	0.053794	0.0325	0.020791	0.021232	0.022813	0.023114	0.01351	0.009837	0.026047	0.037529	0.007557	0.016707	0.004818	0.009045	0.010152	0.00079	0.002495	0.003974	0.011793	0.013327	0.009119	0.006785	0.006004	0.008475	0.009904	0.003622	0.015161	0.006163	0.006527	0.004814	0.019638	0.007309	0.006626	0.005475	0.003124	0.00012	0.005537	0.002738	0.005201	0.001691	0.001313	0.002044	0.000609	0.002936	0.004391	0.000442	0.002262	0.001122	0.014579	0.004814	0.002881	0.003744	0.004273	0.00294	0.00095	0.010721	0.000652	0.001174	0.007285	0.004831	0.0	0.001149	3.1e-05	0.000488	0.007692	0.002057	0.000547	0.011413	0.00224	0.007175	0.000423	0.00043	0.002294	0.001885	0.004905	0.003402	0.001579	0.000882	2e-05	0.000118	0.000412	0.000941	0.001458	0.002098	0.000803	7.2e-05	0.001179	0.003147	0.000145	0.0022	-0.14478614454	0.0324337728454	3
Viet Nam	0.056199	0.052954	0.110965	0.037885	0.042828	0.020937	0.051246	0.016258	0.028514	0.010429	0.025582	0.026261	0.025943	0.020514	0.014022	0.015562	0.005233	0.012123	0.016087	0.002529	0.011693	0.007893	0.005386	0.005331	0.007444	0.008333	0.011061	0.005052	0.005915	0.012293	0.002715	0.004783	0.001779	0.003024	0.001211	0.000356	0.001471	0.004474	0.003116	0.000788	0.002398	0.00727	0.003539	0.001767	0.001506	0.004174	0.005422	0.0041	0.001454	0.003231	0.001912	0.003485	0.002056	0.002658	0.001713	0.002314	0.001696	0.002693	0.00395	0.003846	0.001969	0.004141	0.000979	0.00238	0.000529	0.003902	0.002016	0.003841	0.00352	0.001829	0.000684	0.000688	0.002323	0.000837	2.9e-05	0.000927	0.001144	0.002147	0.00127	0.002047	0.001468	0.003566	0.00251	0.001271	0.002704	0.00198	0.001484	0.001243	0.000525	0.002012	0.001775	0.001838	0.001563	0.002272	-0.13081162471	0.110678256426	2
Hungary	0.086169	0.05991	0.042268	0.061817	0.065092	0.03194	0.019607	0.032383	0.028176	0.021906	0.013651	0.020126	0.013351	0.013213	0.01097	0.014056	0.016161	0.009539	0.006529	0.01367	0.010927	0.005508	0.012269	0.011375	0.007893	0.003807	0.006552	0.006815	0.008114	0.004222	0.00529	0.005379	0.006153	0.009137	0.007784	0.005269	0.006464	0.004882	0.00502	0.006787	0.007854	0.003112	0.004168	0.001882	0.005461	0.004855	0.002443	0.003188	0.003947	0.003158	0.004147	0.001865	0.002515	0.002962	0.003192	0.00305	0.001484	0.002818	0.002601	0.00158	0.001696	0.001838	0.00203	0.001937	0.002624	0.001587	0.00215	0.001927	0.000553	0.002216	0.003063	0.003212	0.0	0.000905	0.004186	0.003159	0.001301	0.001443	0.001551	0.001205	0.001475	0.001046	0.002221	0.001613	0.000989	0.00133	0.001149	0.00173	0.000859	0.001264	0.001224	0.001393	0.001458	0.000498	-0.161978102665	0.030262121668	0
Mongolia	0.053857	0.067817	0.023485	0.049004	0.089504	0.017298	0.013414	0.019249	0.026221	0.027231	0.014437	0.009709	0.013048	0.015431	0.021781	0.013828	0.005359	0.007149	0.009128	0.003155	0.006019	0.011602	0.01882	0.020853	0.004304	0.007664	0.00476	0.004022	0.009971	0.003567	0.018956	0.00559	0.003135	0.001288	0.023296	0.004636	0.008455	0.003779	0.004713	0.000932	0.013278	0.005743	0.002946	0.003839	0.005714	0.006185	0.002315	0.003164	0.001623	0.008095	0.008877	0.000141	0.006003	0.004324	0.003921	0.002347	0.004193	0.0011	0.001076	0.00406	0.000698	0.000981	0.00546	0.000748	4.1e-05	0.000678	0.001364	0.000874	0.004658	0.002387	0.000411	0.001398	0.0	0.004149	0.001936	0.000213	0.000492	0.002054	0.005103	0.001404	0.00127	0.000449	0.000303	0.001505	0.000299	0.000858	0.002011	0.000643	0.000332	0.000466	0.00111	0.00081	0.00011	0.000939	-0.134202637817	0.0357713703416	3
France	0.081517	0.06307	0.039689	0.054279	0.06374	0.037414	0.023069	0.026754	0.0269	0.022633	0.020602	0.018129	0.019117	0.018574	0.01177	0.015536	0.010378	0.008281	0.007963	0.005108	0.008926	0.005853	0.011312	0.010945	0.007868	0.008302	0.006446	0.009858	0.008224	0.004745	0.007519	0.009001	0.005518	0.006726	0.004666	0.006181	0.007696	0.004613	0.005508	0.002603	0.007098	0.004265	0.00488	0.005057	0.006251	0.006726	0.002662	0.003251	0.005109	0.003155	0.002984	0.002187	0.00178	0.003671	0.002091	0.003639	0.016089	0.003498	0.001798	0.000858	0.00057	0.001456	0.001515	0.00146	0.001514	0.001608	0.002166	0.001809	0.001206	0.002253	0.003123	0.001827	0.0	0.001762	0.000141	0.001338	0.002563	0.001455	0.001766	0.001218	0.001483	0.001002	0.001504	0.001626	0.000848	0.001416	0.001169	0.002561	0.001529	0.001128	0.001153	0.001518	0.001324	0.000495	-0.15589614964	0.0369707138346	3
Syrian Arab Republic	0.0556	0.037698	0.056305	0.033652	0.034789	0.020028	0.039008	0.018573	0.020624	0.008092	0.014006	0.019775	0.015794	0.010176	0.007122	0.012203	0.018493	0.007055	0.010324	0.030267	0.008656	0.003609	0.005267	0.004428	0.005914	0.004462	0.005722	0.003701	0.004675	0.004104	0.004295	0.001654	0.00402	0.0013	0.004914	0.000191	0.002799	0.003364	0.011228	0.013854	0.003677	0.003091	0.002361	0.000582	0.003071	0.002998	0.002563	0.002526	0.00121	0.000802	0.002537	0.002166	0.010359	0.002277	0.000673	0.001452	0.00224	0.00086	0.002135	0.011076	0.001297	0.002224	0.0012	0.006083	0.008078	0.00287	0.000497	0.003138	0.003504	0.001468	0.000465	0.007609	0.00259	0.00091	0.001327	0.003238	0.000364	0.001237	0.001225	0.002097	0.001065	0.002099	0.001989	0.000349	0.001634	0.001338	0.001037	3.2e-05	0.000534	0.000725	0.001248	0.000749	0.001605	0.000603	-0.110497419784	0.0491560069222	3
Rwanda	0.057165	0.053539	0.057672	0.044722	0.03421	0.015212	0.038858	0.022867	0.022964	0.023264	0.045559	0.021034	0.019799	0.016572	0.047077	0.006652	0.004555	0.012092	0.009944	0.003825	0.006785	0.027167	0.003702	0.006434	0.008324	0.012091	0.008087	0.007627	0.005596	0.012482	0.005697	0.009679	0.000375	0.002263	0.001479	0.001161	0.002044	0.004575	0.002576	0.002513	0.000946	0.00365	0.001563	0.006694	0.000695	0.003401	0.006883	0.004403	0.000794	0.003234	0.001975	0.000234	0.002576	0.000394	0.000776	0.002422	0.00412	0.002632	0.00108	0.001092	0.002238	0.001759	0.001812	0.000971	0.002113	0.003555	0.002034	0.001801	0.004013	0.001824	0.000531	0.001992	0.000193	0.002176	0.000373	0.000281	0.003005	0.001429	0.001549	0.002267	0.001517	0.002618	0.001137	0.002275	0.001813	0.001533	0.00122	0.001316	0.000577	0.002018	0.001215	0.000658	0.001353	0.000666	-0.120929142807	0.0823848057005	2
