tag name	Brazil	Canada	Italy	Bangladesh	India	Korea, Republic of	Lithuania	Costa Rica	Morocco	France	Syrian Arab Republic	Netherlands	Slovakia	Ireland	Argentina	Norway	Ecuador	Czech Republic	Israel	Australia	Lebanon	Singapore	Iceland	Iran, Islamic Republic of	Macedonia, the Former Yugoslav Republic of	Slovenia	Guatemala	China	Bosnia and Herzegovina	Armenia	Puerto Rico	Belgium	Thailand	Germany	Hong Kong	Poland	Spain	Moldova, Republic of	Ukraine	Georgia	Chile	Denmark	Philippines	Indonesia	Saudi Arabia	Turkey	United States	Russian Federation	Serbia	Belarus	Croatia	Finland	Japan	Switzerland	New Zealand	Taiwan, Province of China	Nepal	Bulgaria	Romania	Peru	Portugal	Estonia	Uruguay	Kazakhstan	Sweden	Mexico	Viet Nam	Azerbaijan	Venezuela, Bolivarian Republic of	South Africa	United Kingdom	Malaysia	Austria	Latvia	Tunisia	Colombia	Greece	Paraguay	Hungary	Montenegro	Cyprus
Bulgaria	0.962363587746	0.957562143381	0.967765967564	0.979003345039	0.978717530101	0.934497256759	0.975111246838	0.971848841938	0.942007087008	0.951523073042	0.914301266549	0.956002105497	0.973981451466	0.955917249354	0.961778495738	0.96349128412	0.937682557277	0.980051437478	0.971681204212	0.89584616855	0.942787612078	0.914875473842	0.938509710374	0.926099841026	0.958818484572	0.972267518115	0.95112452568	0.868904844527	0.987579449	0.981933590466	0.95647629665	0.958962590829	0.942821839377	0.972511451631	0.859601824873	0.990586715757	0.950422790684	0.99028169496	0.977222743099	0.953116825238	0.96453399034	0.932949938004	0.906416538782	0.906238641985	0.928955182933	0.943707500675	0.944086604668	0.979187958798	0.977025926567	0.979262331343	0.980867640972	0.959012763817	0.920333994569	0.947872359406	0.960218946466	0.864931913144	0.962989535685	1.0	0.854071309669	0.942723361809	0.940227918709	0.964475956495	0.962992058321	0.987503944469	0.936238453605	0.956214040857	0.883674856426	0.981647727654	0.964545136672	0.969298019245	0.96452391935	0.926888304843	0.958623756442	0.973678768239	0.929443814915	0.956072349467	0.960659223523	0.97288149555	0.974134403352	0.943992982896	0.980718935918
Romania	0.802956662084	0.873855060219	0.857841274362	0.854704319925	0.858750323111	0.872732557286	0.871180551038	0.79639854638	0.89845629968	0.885062381585	0.8765013071	0.869410288685	0.87212579412	0.869398711271	0.787327279697	0.88459804538	0.762221026441	0.859581930026	0.845076669405	0.819613516413	0.91272939025	0.876032633886	0.898866899438	0.831037322886	0.885500280608	0.859422490105	0.769491408212	0.815294251693	0.874122633083	0.853847775742	0.835698954502	0.879406418519	0.868781937429	0.866388752359	0.818276005077	0.859971705743	0.841491561516	0.855155394757	0.823212726636	0.874955214925	0.810810479607	0.832771924827	0.817208618831	0.822114931924	0.881940730115	0.87572942327	0.874936606742	0.814655329743	0.875056409039	0.817583967216	0.840095118261	0.80783534423	0.767184855185	0.884711506228	0.878903692204	0.841493582639	0.795806457519	0.854071309669	1.0	0.779024090043	0.86532317568	0.88587039655	0.783086590682	0.837282930766	0.849636743266	0.810629783024	0.826644028588	0.864598343733	0.823447871289	0.852496567985	0.855858777747	0.847640245102	0.863314756085	0.873274739818	0.918720620769	0.796684240319	0.863488942977	0.797049233052	0.880179226586	0.897945508539	0.868682042635
Peru	0.985122080449	0.936041766601	0.954650392404	0.946102622523	0.949937280375	0.932998774211	0.94158482593	0.987399157796	0.904300783624	0.922994529158	0.876312045696	0.944446188492	0.927101109183	0.941620190786	0.981258024529	0.94179273249	0.991492279552	0.946134790537	0.941957533231	0.903016120609	0.896570577177	0.920757728118	0.897555755312	0.891242755083	0.903195473587	0.937415801266	0.98956012836	0.899971137156	0.954097058397	0.938034781816	0.976764101257	0.932567104076	0.94888641334	0.953830138759	0.890301350542	0.955463644259	0.955169799954	0.934661927983	0.923972698432	0.903318137409	0.994470911148	0.943063342405	0.940124808116	0.939297888318	0.925905940828	0.914214939325	0.917777437162	0.933497420115	0.944242319039	0.930285737307	0.960476400442	0.93705995232	0.941229384483	0.931344621711	0.929281291418	0.889802354592	0.939961892551	0.942723361809	0.779024090043	1.0	0.911012837328	0.930233310975	0.986268766002	0.953725862093	0.946926508935	0.986155084347	0.906882506721	0.929533323314	0.991583251241	0.946972609531	0.957471916484	0.94328176749	0.939083060432	0.937299709009	0.861158850234	0.988922881307	0.917252109753	0.980442793269	0.931177817563	0.906249277777	0.949344249927
Portugal	0.915225832194	0.983849229534	0.978717483948	0.951976316366	0.959378092717	0.927222422283	0.980636399532	0.937252171059	0.970415181159	0.972564854872	0.874146468398	0.952980662638	0.98256197409	0.982707554011	0.935810183304	0.948042800849	0.879080492905	0.979791526172	0.977291329487	0.860720507117	0.971490338753	0.933749376612	0.980457634665	0.887481084268	0.977904996951	0.986845183049	0.885681816658	0.836757845008	0.973943054205	0.957751062852	0.939616428983	0.984897098644	0.946083429303	0.96955331658	0.82987795433	0.963483093174	0.983578981651	0.961048619629	0.962258961123	0.987128907383	0.940313019655	0.871574974896	0.882529410245	0.885209766447	0.949329768751	0.975964805147	0.983788704257	0.952557349698	0.978124486152	0.953856478504	0.963720990889	0.84727699969	0.835708347663	0.966309766035	0.980186438123	0.869344054276	0.916897622151	0.940227918709	0.86532317568	0.911012837328	1.0	0.977234820318	0.911215990067	0.958693709677	0.9031933566	0.958779913651	0.853095309753	0.969209663289	0.92903755861	0.986310992854	0.959056756517	0.911324909101	0.98780515824	0.988507446185	0.958353095467	0.929175092628	0.986452317928	0.951097072144	0.976387215343	0.982642383491	0.963837658332
Estonia	0.935387112432	0.989263534809	0.975058580971	0.958959855585	0.978538200283	0.965679135676	0.993015080929	0.943695185138	0.987178912518	0.987883488521	0.900335610686	0.974100927811	0.988722016363	0.987653821547	0.936381149031	0.981645654229	0.907047443709	0.985391184716	0.967861893313	0.926707903722	0.982708071045	0.966797506523	0.985314366934	0.909865810006	0.973331477575	0.979464485874	0.913981824996	0.894996934031	0.983193364208	0.961302741154	0.959795277024	0.988516366718	0.976031683211	0.983165695086	0.895536280006	0.982736848035	0.975250987571	0.973294614181	0.957099535932	0.980710898739	0.954414253535	0.926440521622	0.925555008924	0.922788355192	0.973696175728	0.964977269962	0.984217145185	0.953409115821	0.985815138976	0.952098087418	0.967562582036	0.90689719392	0.881002067923	0.980426727712	0.997253989914	0.913187053162	0.913585274299	0.964475956495	0.88587039655	0.930233310975	0.977234820318	1.0	0.929748720557	0.97195011581	0.949035341348	0.964981887635	0.907951076197	0.981137930476	0.956603348092	0.981629948992	0.979891366027	0.950759174128	0.984754746958	0.993344886036	0.968620763994	0.94496710043	0.970595594897	0.95779252298	0.995542693248	0.98155465936	0.97970585804
Uruguay	0.986370442981	0.935093255106	0.96065258785	0.957580207071	0.962914765049	0.91859909267	0.951003169216	0.992837642827	0.903291091762	0.925163456085	0.877162951943	0.950035524508	0.941244251837	0.941756146409	0.994725530238	0.947482272918	0.985557233492	0.959371520848	0.960100044127	0.89039126187	0.899895189521	0.897562071913	0.901215886943	0.909672594909	0.921766186043	0.953256335264	0.987125250473	0.872680993585	0.966867146176	0.96280272338	0.964607058125	0.93922512063	0.932357518387	0.958243330906	0.85841373471	0.970870949789	0.950489860552	0.955044637524	0.947718953865	0.912824534843	0.989486132266	0.943247613148	0.912540156585	0.915186722814	0.907032422939	0.924429398645	0.915178339997	0.957469253021	0.956434416823	0.953408533141	0.977789763955	0.953865095737	0.954224037789	0.932779364415	0.929393900267	0.860192221508	0.962070106375	0.962992058321	0.783086590682	0.986268766002	0.911215990067	0.929748720557	1.0	0.966829669824	0.940003534356	0.974905365469	0.884926181582	0.947714349626	0.978407140441	0.952407805175	0.957511983224	0.922328628984	0.940692834329	0.943882832408	0.873004620064	0.983078077813	0.933427938479	0.984254387231	0.936731309504	0.911772800544	0.961997828429
Kazakhstan	0.964895854582	0.967255434761	0.976203945028	0.974979041681	0.977882333746	0.934225719514	0.97994381644	0.976024981717	0.945263343056	0.958225062285	0.895530641341	0.953070103539	0.981631282943	0.965876267919	0.971336570519	0.959204209884	0.93801305232	0.987660702431	0.976831099072	0.900914806192	0.945278368577	0.923194267981	0.943878153094	0.913160160475	0.96360351814	0.980246990815	0.949978471265	0.865376375115	0.988692608057	0.97842543321	0.960713408096	0.966064296701	0.950586006658	0.97694875506	0.856518031622	0.991184457737	0.965384080071	0.993973597581	0.988666704185	0.967731641289	0.972594199427	0.920764945137	0.914426363275	0.911105897698	0.937606170975	0.950224959257	0.9557965305	0.992259296108	0.979736741292	0.991088172925	0.984280689482	0.941631857491	0.919778351338	0.948852632593	0.970626764148	0.868803907888	0.956315666562	0.987503944469	0.837282930766	0.953725862093	0.958693709677	0.97195011581	0.966829669824	1.0	0.928341295682	0.974247002377	0.878671919885	0.984912516371	0.968597488171	0.983233430959	0.968077298986	0.93313646422	0.971219360488	0.983152744678	0.928607468963	0.964491205679	0.967111536187	0.98355833319	0.980334345106	0.949512969698	0.976855568867
Sweden	0.965304299854	0.951459179071	0.956277242367	0.94773061846	0.963937827685	0.9864404077	0.948165231155	0.935903848107	0.943271672929	0.948454598183	0.926000033972	0.979267239021	0.927899714663	0.957575778246	0.92849736782	0.983116417035	0.93133759038	0.94267499399	0.929785116675	0.949594259162	0.937325094724	0.976320035965	0.932854118225	0.930895504309	0.903146414492	0.927749057672	0.931065494942	0.974769782693	0.949154814459	0.935961986407	0.93560237818	0.948549897651	0.984052197817	0.967121719647	0.969375322111	0.954868710899	0.947653628295	0.916353065112	0.882449352088	0.898306805921	0.949221896791	0.989641136988	0.978668628515	0.981626317952	0.971914116751	0.937175940532	0.9346631709	0.889517272081	0.946791171501	0.885832181429	0.94519865666	0.945067256482	0.943167816837	0.970114116221	0.942261630469	0.968475906099	0.923689424009	0.936238453605	0.849636743266	0.946926508935	0.9031933566	0.949035341348	0.940003534356	0.928341295682	1.0	0.936672801384	0.981394758649	0.925596504082	0.960617372559	0.936729691555	0.974800532502	0.986017516205	0.944606945874	0.938633406871	0.89708752175	0.925431992281	0.911498228824	0.942477149921	0.94319900884	0.929458828308	0.967167063284
Mexico	0.96950960699	0.965953620017	0.973225318704	0.958482574706	0.965373712316	0.938924167613	0.971879065897	0.986327017582	0.940497548858	0.955000088835	0.879366201278	0.953844040168	0.96467177773	0.968065504612	0.981000435068	0.953586714281	0.969704518752	0.974146433602	0.965881971192	0.903113332651	0.936108399483	0.934781394187	0.938481028853	0.895615980972	0.944918678515	0.969243440645	0.971203573893	0.878862535505	0.97490979117	0.95689066424	0.984607553526	0.963435799394	0.958047802147	0.970754166223	0.872216777502	0.972836279001	0.981021855208	0.963338819191	0.958921705053	0.952132308778	0.9931881779	0.919546172469	0.925837402221	0.924039454526	0.943608048647	0.944709583386	0.954138820488	0.961468782494	0.970091236187	0.959487774348	0.973675421742	0.91509086314	0.909803191211	0.951667891047	0.964391025732	0.886394055296	0.937242762803	0.956214040857	0.810629783024	0.986155084347	0.958779913651	0.964981887635	0.974905365469	0.974247002377	0.936672801384	1.0	0.889311313509	0.962130285388	0.98698297296	0.975801188795	0.967912059031	0.939260812108	0.970530469721	0.972654763998	0.908596040757	0.990898122603	0.955627305889	0.987905311113	0.965514789719	0.9451028293	0.964813532263
Viet Nam	0.926125746885	0.906387984698	0.913319962945	0.90613911569	0.925076897094	0.977899773858	0.897347457939	0.881635641899	0.911286626516	0.909787535246	0.928358478101	0.946087964958	0.878815256382	0.916192528482	0.866807951703	0.951639323747	0.890363354638	0.893390786185	0.868002324303	0.932803019914	0.909393536499	0.972093928861	0.893347264549	0.920366332776	0.848671540472	0.867670076283	0.890294739944	0.997101559341	0.896680195582	0.88742640945	0.894008920006	0.904315129651	0.96819598816	0.925326876319	0.991969551731	0.905834138053	0.904324857361	0.862026852024	0.813954150794	0.849801399086	0.901157826262	0.973180517931	0.980871102137	0.982247875344	0.962191835047	0.904235188	0.88876576592	0.823106250996	0.894177599605	0.8194512591	0.884942652476	0.908303745905	0.915607056145	0.938520349625	0.896100756626	0.990177035412	0.870646699329	0.883674856426	0.826644028588	0.906882506721	0.853095309753	0.907951076197	0.884926181582	0.878671919885	0.981394758649	0.889311313509	1.0	0.876787708932	0.926835677123	0.886282012868	0.936653783601	0.984831915582	0.899551638901	0.889398407332	0.862474270666	0.87604484629	0.856269213394	0.885713604795	0.903818202394	0.886671909697	0.926875648383
