	rock	pop	indie	electronic	alternative	classic rock	folk	indie rock	soul	alternative rock	dance	indie pop	rap	jazz	acoustic	ambient	hard rock	experimental	classical	house	blues	metal	new wave	hip hop	funk	punk	psychedelic	britpop	latin	heavy metal	electro	progressive rock	synthpop	dubstep	electropop	reggae	oldies	indie folk	grunge	techno	psychedelic rock	country	emo	disco	rnb	punk rock	soft rock	thrash metal	contemporary classical	swing	folk rock	trance	trip hop	progressive metal	glam rock	alternative metal	ska	industrial	metalcore	death metal	melodic death metal	black metal	post punk	romantic	blues rock	post rock	world music	doom metal	gothic metal	industrial metal	power metal	soundtracks	stoner rock	art rock	modern classical	brutal death metal	gothic rock	new age	neoclassical	avant garde	screamo	symphonic metal	baroque	fusion	nu metal	minimalism	acid jazz	art pop	noise	speed metal	rockabilly	experimental rock	groove metal	rock n roll	funk rock	alternative pop	orchestral	industrial rock	chanson francaise	chanson	progressive death metal	bluegrass	gospel	nu jazz	crossover	folk metal	smooth jazz	post grunge	minimalist	jazz fusion	melodic metal	psychedelic folk	country rock	hardcore punk	christian rock	a cappella	sludge	post hardcore	glam metal	grindcore	viking metal	opera	krautrock	ballads	dnb	neofolk	classical music	technical death metal	sludge metal	prog rock	jazz rock	contemporary jazz	trash metal	stoner metal	british rock	avantgarde	classical guitar	symphonic	modern rock	jazz funk	mathcore	post metal	electroacoustic	folk punk	choral	crust punk
rock	1.0	-0.105701765167	-0.407893991861	-0.419257177634	0.575987371735	0.541358630084	-0.677920159427	0.0737707161317	-0.488271627244	0.679480448815	-0.000715206805294	-0.434321815785	-0.327129959266	-0.394243071604	-0.559011231751	-0.58085652679	0.618796501392	-0.394391597857	-0.40192917144	-0.218538520829	-0.269613238866	0.227014781713	0.328999021551	-0.419619322505	0.101412324793	0.652302960079	0.059216734455	0.402359556068	0.43919046957	0.325872910804	-0.145487935819	0.233480960237	0.0340125908508	-0.223416779018	-0.0357070063945	0.53873090944	-0.143734118458	-0.720971612563	0.55390444593	-0.152333187118	0.301230633758	-0.293668545269	0.308228591412	-0.00169256589266	-0.34554841643	0.720033152978	0.129058023318	0.165043986099	-0.498109953197	-0.280032650751	-0.200750625917	0.0153318932222	-0.396436260194	-0.0846318305866	0.550903948819	0.248497875047	0.71302175159	0.338985607961	0.248518557086	-0.176055210666	-0.239121831244	0.0208362164937	0.302192383295	-0.261461652489	0.193519941803	-0.257416959569	-0.258050034939	-0.27500307656	-0.268878861612	0.358110483708	-0.142984348258	-0.305398984569	0.20098234097	0.249587747298	-0.534935694838	0.449534850744	0.0155303378004	-0.170657371662	-0.449716660547	-0.183811941836	0.0545924383189	-0.0644370868327	-0.215854353546	-0.0258893073212	0.518162255165	-0.559616909353	0.118708479023	-0.346611322306	-0.0125141692676	0.261304299883	-0.101457867377	0.123472547111	-0.0729252640817	0.722620274276	0.535861576179	-0.224480949912	-0.237512429872	0.386253296195	-0.105179482039	-0.134840162164	-0.287205604011	-0.310904602863	-0.100716255326	-0.283373310294	0.678774475837	-0.106328619944	-0.185770114371	0.403895970057	-0.580069236552	-0.217817039751	-0.0963361930773	-0.0944758718329	-0.101971255129	0.363615424392	0.169780562009	-0.299821346297	-0.023027614324	0.298089490923	0.606035026242	0.306797058095	-0.0843260098473	-0.206961748174	0.0215807700042	-0.0593803617045	-0.0640785122281	-0.253078670535	-0.343103029704	-0.280392932895	0.0790138896499	0.228366060091	0.310907928806	-0.292955901407	0.12334440785	0.0431066373219	0.32399493182	0.193223332714	-0.102225829484	0.182057808232	0.227010768285	0.0117504341833	0.231884907509	-0.20486215196	-0.301273689568	0.165759991902	-0.29059482753	0.0694048436634
pop	-0.105701765167	1.0	0.108218520377	-0.352347566372	-0.285796887466	-0.445072743478	0.0561048303867	-0.276358997555	0.267218257069	-0.386745328501	0.716488582781	0.307310198812	0.0963013636209	-0.00191444723611	0.52501350252	-0.380411439801	-0.51322814591	-0.528934110672	-0.0542043578311	0.339038485506	-0.509653440941	-0.47764640112	-0.320566098257	0.175302762711	-0.191355244109	-0.0765522008426	-0.518488937964	0.0136537568349	0.0812925742372	-0.500477216785	-0.00315299003992	-0.439340614435	-0.0878504383751	-0.250481807966	0.525571720058	-0.00559179444328	-0.0871813132182	0.0452948916115	-0.568559137933	-0.236846728086	-0.602954418251	0.36712017665	0.331312629671	0.210153229078	0.784194602499	-0.184350702288	0.334844292251	-0.244381354982	-0.060535495218	0.0201587418752	-0.115127173498	0.237881264334	-0.468263826184	-0.374880338165	-0.351896565893	-0.53818500936	-0.149784110599	-0.654191405515	-0.307628959875	-0.226891222008	-0.202154361349	0.00810041670719	-0.393783701689	0.121926801217	-0.777141181047	-0.291246330537	-0.141683732159	-0.186806129745	-0.220842883045	-0.474792409567	-0.211476703816	-0.11411922579	-0.548020787789	-0.606935366175	-0.0693621228972	0.142669495604	-0.426718059103	-0.0828505760124	-0.0383866396198	-0.409604939634	0.178916256351	-0.276345379496	-0.0637030721667	-0.129363233392	-0.404177825101	-0.147724460398	-0.329386505629	-0.198537187522	-0.287046541356	-0.211999996883	-0.189888083227	-0.331275016772	-0.345095463066	-0.105586555425	-0.182377483285	0.612964411085	-0.0766322276766	-0.655009794303	-0.0929706249368	-0.156161512054	-0.353892018377	0.0420474562404	0.0552187560712	-0.478188954245	-0.424729985847	-0.116299445623	0.207915803381	-0.231105705901	-0.16296527679	-0.228082030625	-0.125890366655	-0.348088449255	-0.0737115272277	0.0203086263304	-0.14586968344	0.651373739921	-0.447878476862	-0.0347515662882	-0.178209735227	0.124081189308	-0.118582623894	0.0208736349477	-0.350285768383	0.635935228754	-0.227835664125	-0.27705104937	0.0205013556988	-0.156752317873	-0.562249590942	-0.34012352149	-0.0107443873486	0.0233520446578	-0.230316391765	-0.336073720981	-0.0114360716449	-0.40618576838	-0.243712181039	0.0416878967927	-0.0963161818485	-0.122937883653	-0.188340184387	-0.105435668455	0.127635892583	-0.0982870354165	0.0351696045073	0.266160316074
indie	-0.407893991861	0.108218520377	1.0	0.308424031701	0.227783914362	-0.195663109452	0.505915571192	0.759017690954	0.399355533782	-0.161715204212	0.0611097826516	0.792284493373	0.0572792880974	0.0276102519132	0.412509195979	-0.104948848189	-0.568173364062	0.111730403931	-0.0983033302247	0.199320200768	-0.138716267329	-0.715735522543	-0.0994938898181	0.163601356757	0.126431859505	-0.164385263184	0.317655797182	0.227140454907	-0.23072047017	-0.740012590033	0.277393390644	-0.494343878736	0.192295560096	0.202674043643	0.401842879841	-0.259029217763	0.103029705238	0.571067423429	-0.283572823974	-0.213173683712	-0.0252977177282	0.0121389804783	0.122911995454	0.0263576802189	0.296597596458	-0.265799888025	0.0918519081536	-0.556060087092	-0.0376672274939	0.232782293032	0.502647951133	-0.336551104319	0.125226866388	-0.561865384452	-0.181953448452	-0.530044916797	-0.270771811512	-0.420007736193	-0.427255882625	-0.510948256581	-0.467341195299	-0.407582421164	0.0611950137812	-0.152682215095	-0.222704752142	-0.164354486887	-0.213245218745	-0.434340874263	-0.468120424099	-0.508078254842	-0.512904763541	-0.150798167165	-0.0668342655412	-0.239567505916	-0.0373907235658	-0.24094921582	-0.50458216729	-0.393483164455	-0.10426743899	-0.0149535034241	-0.0434298865587	-0.575006520983	-0.168955000601	-0.216754866568	-0.464961954395	-0.00241817733961	-0.120645778387	0.395127436874	0.205526725988	-0.523044945286	-0.268576580992	0.0453199134012	-0.518620559796	-0.343912767893	-0.0723140803343	0.272051398437	-0.267938916701	-0.374525407679	0.0623053796264	0.0167534921022	-0.477065102722	0.24470811504	0.110771303302	0.0266748715289	-0.342536332155	-0.436700909288	0.101583572046	-0.259066268863	-0.00305921604572	-0.113613324498	-0.605814655854	0.409773554829	-0.0583187656017	-0.202370862501	-0.312738851139	0.31157032975	-0.312064517903	-0.157425378629	-0.606010671765	-0.380304645906	-0.458403311324	-0.314374570474	0.0295193591549	-0.0536740689013	-0.131839790761	-0.302859739471	-0.0990083735175	-0.289534495138	-0.378292792624	-0.423582184592	-0.369215262109	-0.0802874370321	-0.423847593881	-0.206289050074	0.0838385340247	-0.215024288236	0.0458823379736	-0.507793680745	-0.220233061091	-0.0775644428822	-0.254233785632	-0.295091729765	-0.154077903969	-0.0882853816148	-0.222458702874	0.131075034219
electronic	-0.419257177634	-0.352347566372	0.308424031701	1.0	-0.0237597892672	-0.175754402422	0.0785644755637	0.255844851124	0.125062531944	-0.214416563025	-0.0888438451179	0.0727777275846	0.269786335537	0.16990356072	-0.129216609904	0.396925250617	-0.246577887986	0.633625932231	-0.0210509835546	0.328811654265	0.139273133848	-0.171886445211	0.0676034899428	0.305116219071	0.226007772681	-0.0258560989366	0.258009854535	-0.135233501207	-0.324375503064	-0.19112959084	0.62917586922	-0.273313463396	0.393722919221	0.547548682725	0.16289349334	-0.296032233862	0.172818538157	0.169979597105	-0.276838521238	0.477584340626	0.0638012035928	-0.376884594832	-0.261542932622	0.205138879377	-0.14438892534	-0.0788130968711	-0.373160234575	-0.0416679811517	0.0670461202254	0.235209504211	-0.0361176999788	0.111392889425	0.706190597303	-0.208528335305	-0.152633490926	-0.0566086129674	-0.265092462271	0.247451493739	-0.113617281944	-0.211614139767	-0.143699697513	-0.407982641236	0.182692719926	-0.323093132327	0.167805881028	0.241897409627	-0.108961119015	-0.170057960297	-0.0906188927734	0.087122997564	-0.0870302740138	0.0839189415298	0.174069582308	0.0298889200329	0.0654824966722	-0.410248680297	0.0685584045109	-0.13184412659	0.0459615559869	0.281153577549	0.176545169117	-0.10173996836	-0.142169518294	-0.149678805246	-0.007353496683	0.140463030553	0.353985298765	0.447732869989	0.264903745529	-0.0234690514758	0.0035417455621	0.235568881964	-0.132213458431	-0.218949015467	-0.210232648461	-0.0394906622496	0.0278354581292	0.207015255264	0.185796170772	0.197509700609	-0.0955026861511	-0.195335103222	0.0336590582083	0.611371808705	-0.0534403091665	-0.204037959918	0.127290072917	-0.255744211558	0.16126555318	0.145478887307	-0.230500855934	0.184948356513	-0.203589928013	-0.247061219488	-0.0227859613367	-0.154903199549	0.130502625126	0.124337449539	-0.457663712413	-0.356335523131	-0.231945958318	-0.260574879059	0.179038391694	-0.0507198105006	0.382413477151	0.0832913104755	-0.152495249257	-0.0691962198451	0.0687396358365	-0.323209910882	-0.109407088207	0.100102422143	0.0362319813402	0.00386741165511	0.0949269386502	0.203611994018	0.121289581196	-0.0996896237793	-0.0806791567812	0.134102935127	-0.193059004012	0.182984565792	-0.123006839819	0.0364353698024	-0.0964209325825	-0.0828060200586
alternative	0.575987371735	-0.285796887466	0.227783914362	-0.0237597892672	1.0	0.235385082652	-0.42993836828	0.628949998807	-0.229041953999	0.841190210811	-0.226872119901	0.0971903878894	-0.30377466999	-0.349783463344	-0.373199876426	-0.336089713525	0.340915749355	-0.154319258473	-0.321528264258	-0.268862784063	-0.265465897935	-0.0154322570845	0.116243721527	-0.389263260518	0.135954857231	0.39722586755	0.274952765574	0.581708356343	0.15863301737	-0.0257663507842	-0.100177760779	-0.0376420014074	0.111971971409	0.206551996734	-0.0125138082618	0.215599978265	-0.235476309955	-0.352388000854	0.443293136012	-0.320237212376	0.322276670194	-0.305200078189	0.512286088528	-0.273058673744	-0.249575569587	0.526956440202	-0.0815095334123	-0.173668322024	-0.352283646512	-0.067803660243	-0.0902170734281	-0.176220392618	-0.0205821724392	-0.228548243282	0.338045820067	0.199423735207	0.446433182171	0.395412296322	0.212826043337	-0.389318037139	-0.408320598495	-0.199709362164	0.315774741692	-0.316727541788	0.206683623281	-0.131902330633	-0.304141839765	-0.38358830067	-0.386636033105	0.325795281375	-0.348006177963	-0.252834727957	0.271645619347	0.209693431089	-0.389229704665	0.14725124927	-0.0361407380417	-0.232951769821	-0.337951801451	-0.0941070026983	-0.077908089392	-0.153786361728	-0.221175008777	-0.233448873205	0.435520790347	-0.404463327797	0.200711112487	0.041525528817	0.115998831448	-0.120767490085	-0.313213123178	0.03283340505	-0.256847373558	0.238256975006	0.491982348541	-0.079788321867	-0.231159032336	0.472477980355	-0.0675825587788	-0.116903359849	-0.412605092739	-0.219430055225	-0.134357882097	-0.0594247028793	0.603281402339	-0.252979614981	-0.163045000706	0.516397812201	-0.39797227294	-0.305149710533	-0.321934441592	0.198423655639	-0.313813478055	0.0792913944364	0.204175334859	-0.10431305226	-0.0434810892108	0.258430852678	0.219077051272	-0.0120108395637	-0.270446709352	-0.362672858664	0.0544390870812	-0.352937215594	0.0337548706753	-0.229420769895	-0.316727417331	-0.414767047778	0.0877904086424	-0.0732984149684	-0.130586601427	-0.283783783743	-0.131567493142	0.0159449480276	0.141509198792	0.304836215838	-0.0259796956507	-0.0462278351986	0.329768833541	-0.0975484208656	0.262337873341	-0.359361997107	-0.378494852878	0.0817387567583	-0.356538518474	0.217784969165
classic rock	0.541358630084	-0.445072743478	-0.195663109452	-0.175754402422	0.235385082652	1.0	-0.159230993109	0.182396109051	-0.161646509718	0.339492516373	-0.215961823691	-0.417862184103	-0.26455229603	-0.220112797977	-0.450958294052	-0.194383182807	0.631667953493	-0.0995082132651	-0.0135475521789	-0.171655702793	0.0823826277272	0.0475764546325	0.336424566618	-0.279870646324	0.307420053624	0.334778720465	0.405678078088	0.226407056973	0.11398328049	0.241240927806	-0.152959826834	0.544187027707	-0.144062593784	-0.0316750648294	-0.230503973113	0.318735188162	0.381841480406	-0.300995629261	0.512812373585	-0.1762640015	0.604577511024	-0.00526046082764	-0.198594596883	0.0224245263685	-0.452903746829	0.410072603466	0.327827573108	0.0623545654754	-0.046457746752	0.145389527362	0.329740234075	-0.183599603227	-0.0765016325948	0.0591091573502	0.761703146631	0.0270766374933	0.335781658252	0.330819376775	0.0186232968385	-0.304004465098	-0.351385059949	-0.0962702508163	0.31224021097	-0.0150735915249	0.548412523097	-0.122780062098	-0.131655424733	-0.202561511326	-0.381783284546	0.187750821677	-0.336668880693	0.0649481148134	0.396817367243	0.580752809337	-0.0742267989942	0.0908376771494	-0.189980252075	-0.00579222999361	-0.0668798976566	0.13949001709	-0.145038013701	-0.116666984401	0.0244558364353	-0.00256727426589	0.25748434045	-0.041163536203	0.0816272831248	0.042627326987	0.139488083051	0.160812019039	-0.117147677937	0.261274491129	-0.174972197145	0.553609901627	0.455476367159	-0.36790328997	-0.0294374419373	0.383428127173	-0.0255230532012	0.00199392162725	-0.209801774414	0.200422599496	0.234452677405	0.0212979160062	0.48699994478	-0.119037442408	-0.0876233951422	0.0244174350661	-0.0818216245009	-0.137272815815	-0.230166074291	0.249920944787	0.397417258731	0.252535192632	-0.192624465132	-0.427933371644	0.150025107414	-0.0523901477163	0.440458942116	0.115742289508	-0.0622004814683	0.0203661099881	0.268546547306	-0.346782448639	-0.177734892703	-0.0741788923888	-0.0514385180925	-0.384160696414	0.192773433122	0.537637034127	0.0625618713315	-0.146724827398	0.0666111637157	0.207979319773	0.293141457456	0.054287047371	0.163441235017	-0.0954690799214	-0.0691443170995	-0.0434841776647	0.0920071666708	-0.187298426961	-0.079016127179	0.112647365604	-0.0934805878347	-0.167190678721
folk	-0.677920159427	0.0561048303867	0.505915571192	0.0785644755637	-0.42993836828	-0.159230993109	1.0	0.0520789863813	0.556388588611	-0.555856576259	-0.167365619253	0.407014563092	0.0682413434467	0.420977202188	0.690832380219	0.361953575854	-0.499519536722	0.205717317327	0.303501059778	0.0445582143381	0.441520238875	-0.342821916433	-0.25686884561	0.188889184464	0.0770824067057	-0.541299394485	0.0631416217958	-0.304925716183	-0.506336942865	-0.360943361516	-0.105663612779	-0.116201688271	-0.246222344841	0.01994194212	-0.127545810125	-0.480826184499	0.341497842424	0.928210565202	-0.356737815154	0.0456320072593	-0.0940015023532	0.400022949825	-0.346196879543	-0.0857839925053	0.218739492576	-0.604431632682	0.224662622696	-0.341638426156	0.420962082713	0.260104188133	0.749116614412	-0.26740186843	0.16472095124	-0.0651540108544	-0.282777208506	-0.290948438676	-0.612082874733	-0.475753262207	-0.282804049371	0.0452601357483	0.103045272901	-0.224563424578	-0.330597538286	0.261005148401	0.0410736850077	0.0824904027273	0.178833738442	0.0401630244401	0.0566394155305	-0.517439923724	0.000604868624844	0.241128050274	-0.121807459759	-0.138027395357	0.454682515228	-0.484567226784	-0.229004585433	0.0322795317353	0.365472645219	0.129551548433	-0.202648532819	-0.186964423223	0.150065390685	0.151878745709	-0.594849495367	0.457891455465	-0.201480619709	0.314005421019	-0.0602806419535	-0.400875400026	0.16437054061	-0.123188537562	0.013731389946	-0.366936830104	-0.337334487643	0.293988162911	0.121290275503	-0.495242154957	0.0639249583995	0.102473417341	0.149790198116	0.485774405331	0.293026834116	0.186230218945	-0.54347072533	-0.127843955622	0.227671348038	-0.41918662642	0.480710185327	0.295366497711	-0.0998082308013	0.349250891405	0.357743221307	-0.224638905769	-0.28918329954	0.206226918441	-0.116856161917	-0.361542527127	-0.533522026214	-0.29626623787	-0.102697074302	0.119816122625	0.0551774031813	0.00543049181004	-0.082139060124	0.0356669669318	0.266482737451	0.22914835298	-0.203929001724	-0.0699391698344	-0.0595123474752	0.289345817563	-0.270293287256	-0.0836632405195	-0.293528214834	-0.264964030835	0.104514321367	-0.226947344194	-0.360647691124	-0.0041534057607	-0.181438876738	-0.0330367038004	0.2164344707	-0.168709509715	0.168725761373	-0.107567510258
indie rock	0.0737707161317	-0.276358997555	0.759017690954	0.255844851124	0.628949998807	0.182396109051	0.0520789863813	1.0	0.119934732114	0.293818463176	-0.158836741324	0.540332017442	-0.108495431441	-0.163070557837	-0.207426539106	-0.228278581621	-0.1584479738	0.154893260243	-0.274057970436	-0.0991566948772	-0.114290453605	-0.456468438478	0.253655815933	-0.071492571364	0.302978585638	0.11090844581	0.624117587346	0.53293898904	0.0340825968006	-0.448855800622	0.145010210221	-0.26339112983	0.299655672173	0.30080252859	0.171617692332	0.0371784903505	0.0860251852205	0.141599924332	0.186533320702	-0.267442471986	0.357090305063	-0.253474588241	0.112880153594	-0.144780035672	-0.0797526349333	0.125857224087	-0.0909400422742	-0.483162609876	-0.276615110338	0.161882638376	0.360314023645	-0.447402537142	0.092364634092	-0.493171069565	0.26650648078	-0.241112590801	0.161768177109	-0.00313314072031	-0.280218098106	-0.515001484502	-0.508871302828	-0.338653738025	0.452632455515	-0.382597775702	0.0734154902516	-0.184183040009	-0.313381053329	-0.473313210025	-0.494875968822	-0.165471701881	-0.484664853373	-0.244414472344	0.230697493521	0.130292821391	-0.294810021513	-0.00106429370867	-0.321283889678	-0.444302364271	-0.323543230042	0.059928266094	-0.214692757531	-0.504439622792	-0.244538513511	-0.248691242101	-0.140398075544	-0.236473154263	0.06250326019	0.395400316132	0.4346630346	-0.416809675231	-0.208764700251	0.211034482299	-0.454349293879	-0.00318220871711	0.290058715472	-0.0902609666733	-0.338177704534	0.0803410884267	-0.0134165534706	-0.0677206926573	-0.497783535312	0.0736231033076	0.0231901221655	-0.00945206807153	0.115087415784	-0.417587519176	-0.100462705718	-0.0124085052531	-0.249604253519	-0.123672758054	-0.590558647585	0.490426806273	-0.0735567489188	-0.136120689086	-0.27979531466	-0.0530247521987	-0.125774322978	-0.121997182789	-0.285087024212	-0.285492385046	-0.440394075453	-0.413103611679	0.198818420792	-0.388096747641	-0.0487117858895	-0.332520140032	-0.277438498652	-0.370727920983	-0.0931416340056	-0.218702059809	-0.273662068625	-0.296972346853	-0.376147745875	-0.0556356678949	0.217174874326	0.0176554374391	0.129225397522	-0.427056455631	-0.0821529972488	0.051150154351	-0.163943720809	-0.421249605177	-0.394941091264	-0.0132859068937	-0.386244719167	0.11980137468
soul	-0.488271627244	0.267218257069	0.399355533782	0.125062531944	-0.229041953999	-0.161646509718	0.556388588611	0.119934732114	1.0	-0.479167086442	0.167082758055	0.467771324824	0.182114445724	0.500732110914	0.355365811975	0.0673554295137	-0.596541561547	-0.0445673025331	-0.011059169174	0.0581027564619	0.345845803332	-0.526223014944	-0.0568277593402	0.306937023468	0.5497443729	-0.551372297395	0.0178662784493	0.0500662816302	-0.339520445495	-0.571265186871	-0.140427885159	-0.356057152145	-0.114450093596	0.352702566048	-0.0706945996908	-0.167894656341	0.476350950479	0.610910487964	-0.450667284018	-0.152683889199	-0.164025284711	0.274528841089	-0.24448896737	-0.182189020708	0.602467633152	-0.481112409905	0.0810396051047	-0.648883745713	0.0813734138304	0.551592995513	0.398735939514	-0.279330079034	0.185844532358	-0.34231736943	-0.0503570484647	-0.391413309349	-0.365285119725	-0.395843936708	-0.436468328569	-0.212584753986	-0.149647332277	-0.292595244592	-0.171527083407	-0.147195205214	-0.0742708764637	-0.285287560961	-0.0783090152375	-0.178580774394	-0.136927453274	-0.461426688786	-0.153881327384	-0.00837045090793	-0.0972751830991	-0.197595613405	0.0880937675143	-0.343440468015	-0.289039211862	-0.186511574779	0.0437713980891	-0.0478039703795	-0.408710467249	-0.33528825553	-0.09594684944	-0.0874878658845	-0.662071374557	0.0995383325606	0.0374224150157	0.397946852258	-0.0916332608768	-0.677131140066	0.136692437772	-0.320221809853	-0.236430812882	-0.243532574442	-0.0988752829904	0.355613503029	-0.111202874348	-0.420669556329	0.131473648939	0.096800171612	-0.163570174287	0.288177476887	0.402553665467	0.135829034691	-0.346319266311	-0.266514424252	0.548539125655	-0.424687508893	0.130623198421	0.218088030473	-0.24279806945	0.157808399194	0.0437804500549	-0.396141693781	-0.433274559952	0.37239299212	-0.245611487233	-0.502083297795	-0.510915106129	-0.253645516765	-0.24822862618	-0.177394732515	-0.00612849237298	-0.141974784648	0.00509829074187	-0.156094117661	-0.0524750165635	0.0175520068086	-0.337820439548	-0.309940059161	-0.0592039905142	0.132076480193	-0.462491386566	-0.118022359525	-0.32771474181	-0.310830551672	0.167975412443	-0.271051537927	-0.245511256253	0.276292336802	-0.286873830234	-0.33117305573	-0.123938191853	-0.23912212976	-0.0314323370041	0.102781009286
alternative rock	0.679480448815	-0.386745328501	-0.161715204212	-0.214416563025	0.841190210811	0.339492516373	-0.555856576259	0.293818463176	-0.479167086442	1.0	-0.23549554897	-0.193214654352	-0.241497188335	-0.534866660833	-0.436882225418	-0.313255167306	0.710912986305	-0.28259335768	-0.278372715239	-0.212005086812	-0.239293930669	0.409606212592	0.0496511027768	-0.386654215724	-0.135085004448	0.415403730698	0.0376292532741	0.38185075537	0.272744474954	0.397056931169	-0.176010853008	0.169794217699	-0.0322511573824	0.118803924598	-0.17271301685	0.345227223306	-0.328784098855	-0.466540413487	0.691444104633	-0.290533387526	0.255540224302	-0.284368559129	0.518760817993	-0.290567979244	-0.408159844532	0.567330429558	-0.0244756338199	0.167608469218	-0.307734390083	-0.228304424724	-0.224783577298	0.0133138778763	-0.164321198978	0.0633806246306	0.315421256864	0.554814470118	0.500611835244	0.528363622507	0.549985106172	-0.0709482403268	-0.107984635546	0.0183646258572	0.137201562115	-0.151232099569	0.311913676571	-0.134960977258	-0.158163957474	-0.168511430485	-0.120700134333	0.577057304953	-0.064418194301	-0.1882030665	0.268106264667	0.192006728956	-0.327286054173	0.285675513613	0.167634924038	-0.107921924737	-0.28973917606	-0.242293830913	0.0070311729295	0.127440097846	-0.15655543717	-0.123953568132	0.728699487733	-0.371682048391	0.0595209287479	-0.276409378965	-0.0984586217859	0.166323070803	-0.171265519271	-0.0982803442132	0.0947106058349	0.270350012265	0.470091694573	-0.332671900467	-0.192110943077	0.600803768304	-0.127610222191	-0.164133118203	-0.12237738623	-0.247585896245	-0.200532766658	-0.173161281608	0.743394200774	-0.0254005511057	-0.406039055749	0.809397538552	-0.354422315969	-0.398832136891	0.00216645582925	-0.0464221942204	-0.242388178211	0.231336127587	0.459175107334	-0.20988458191	0.071548322058	0.332009890165	0.591342469879	0.177789248769	-0.0269646770558	-0.203779882491	-0.148736377878	-0.378305680294	0.122466243894	-0.145202523428	-0.263604863375	-0.214826711209	0.260935974138	0.0859322543086	-0.14826339581	-0.364588696312	0.0823598079813	0.0631655319781	0.086125720651	0.242972682463	-0.173576840236	0.00973202256939	0.482513807993	-0.232839643877	0.434617596538	-0.185030437161	-0.291414567271	0.105702013466	-0.262761572696	0.175139880487
